Candidate,Coverage End Date,District,Elected?,Elected?1,Incumbent/ Challenger/Open,Party,Party Group,Representative,State,State Match,State Not Selected,Win?,Cash On Hand,Contributions  from Individuals,Contributions and Loans from   the Candidate,Contributions from PACs and Other Committees,Debts,Disbursements,Receipts,Replace Null With 0,sum receipts,Gender
"FISCHBACH, MICHELLE",12/31/2022,7,TRUE,Yes,Incumbent,Republican Party,Republican Party,"FISCHBACH, MICHELLE",Minnesota,FALSE,TRUE,1,11004.56,855809.95,1650.35,446460,0,1704409.41,1677464.61,1,1303920.3,Female
"STAUBER, PETER ALLEN",12/31/2022,8,TRUE,Yes,Incumbent,Republican Party,Republican Party,"STAUBER, PETER ALLEN",Minnesota,FALSE,TRUE,1,419733.33,1378818.92,0,916300.04,0,2053862.74,2470828.61,1,2295118.96,Male
"BLACK, DIANNE DODSON",12/31/2022,1,FALSE,No,Challenger,Democratic Party,Democratic Party,,Mississippi,FALSE,TRUE,,-8403.99,32192.75,150,2000,0,26814.62,34342.75,0,34342.75,Female
"KERNER, GERALD M",7/27/2022,2,FALSE,No,Challenger,Democratic Party,Democratic Party,,Mississippi,FALSE,TRUE,,0,92.5,30000,0,4291.89,31454.43,30191.22,0,30092.5,Male
"YOUNG, SHUWASKI",12/31/2022,3,FALSE,No,Challenger,Democratic Party,Democratic Party,,Mississippi,FALSE,TRUE,,469.86,74015.75,0,1739.92,36566.73,76889.38,77359.24,0,75755.67,Male
"SELLERS, DAVID",12/31/2022,4,FALSE,No,Challenger,Democratic Party,Democratic Party,,Mississippi,FALSE,TRUE,,1390.03,17359,0,3500,0,19568.97,20859,0,20859,Male
"DUPREE, JOHNNY L.",12/31/2022,4,FALSE,No,Challenger,Democratic Party,Democratic Party,,Mississippi,FALSE,TRUE,,10.62,133520.23,0,12000,0,147371.6,147382.22,0,145520.23,Male
"JOHNSON, ALDEN PATRICK MR.",12/31/2022,4,FALSE,No,Challenger,Libertarian Party,Third Party,,Mississippi,FALSE,TRUE,,391.45,1463.24,0,0,0,910,1463.24,0,1463.24,Male
"ELLER, RON",12/31/2022,2,FALSE,No,Challenger,Republican Party,Republican Party,,Mississippi,FALSE,TRUE,,18396.52,21925,0,1000,0,24290.12,29132.11,0,22925,Male
"FLOWERS, BRIAN WESLEY",12/31/2022,2,FALSE,No,Challenger,Republican Party,Republican Party,,Mississippi,FALSE,TRUE,,398.56,33190.03,3515,10000,0,49973.12,49488.03,0,46705.03,Male
"MICHAEL, CASSIDY",12/31/2022,3,FALSE,No,Challenger,Republican Party,Republican Party,,Mississippi,FALSE,TRUE,,0,117724.12,292600,2000,0,416068.87,416068.87,0,412324.12,Female
"CARL, BOYANTON",8/23/2022,4,FALSE,No,Challenger,Republican Party,Republican Party,,Mississippi,FALSE,TRUE,,0,17290,557000,0,0,576038,574354.43,0,574290,Male
"BROOKS, RAYMOND N",12/31/2022,4,FALSE,No,Challenger,Republican Party,Republican Party,,Mississippi,FALSE,TRUE,,3.1,36987.44,6750.89,0,0,43864.71,43867.81,0,43738.33,Male
"WIGGINS, CHRISTOPHER BRICE",12/31/2022,4,FALSE,No,Challenger,Republican Party,Republican Party,,Mississippi,FALSE,TRUE,,4778.29,247866,100,9240.07,35067.95,252427.78,257206.07,0,257206.07,Male
"WAGNER, CLAY",12/31/2022,4,FALSE,No,Challenger,Republican Party,Republican Party,,Mississippi,FALSE,TRUE,,0,250479,300000,0,292415.28,551979,551979,0,550479,Male
"PALAZZO, STEVEN MCCARTY",12/31/2022,4,FALSE,No,Incumbent,Republican Party,Republican Party,,Mississippi,FALSE,TRUE,,10119.67,539325.61,0,578237,16500,1460683.8,1169774.63,0,1117562.61,Male
"EZELL, WALTER MICHAEL",12/31/2022,4,TRUE,Yes,Challenger,Republican Party,Republican Party,"EZELL, WALTER MICHAEL",Mississippi,FALSE,TRUE,1,8271.91,838357.78,45000,179500,96029.42,1054585.87,1062857.78,1,1062857.78,Male
"THOMPSON, BENNIE G.",12/31/2022,2,TRUE,Yes,Incumbent,Democratic Party,Democratic Party,"THOMPSON, BENNIE G.",Mississippi,FALSE,TRUE,1,1730909.56,613485.54,0,900902.5,0,1308304.86,1515666.15,1,1514388.04,Male
"KELLY, JOHN TRENT",12/31/2022,1,TRUE,Yes,Incumbent,Republican Party,Republican Party,"KELLY, JOHN TRENT",Mississippi,FALSE,TRUE,1,325712.28,602761.75,0,503123.25,0,1015860.19,1113277.81,1,1105885,Male
"GUEST, MICHAEL PATRICK",12/31/2022,3,TRUE,Yes,Incumbent,Republican Party,Republican Party,"GUEST, MICHAEL PATRICK",Mississippi,FALSE,TRUE,1,25017.9,640930.76,0,712112.8,0,1610880.15,1353829.76,1,1353043.56,Male
"CHILDRESS, EARL",9/14/2022,1,FALSE,No,Challenger,Democratic Party,Democratic Party,,Missouri,FALSE,TRUE,,21384.59,708,34250,0,34250,13573.41,34958,0,34958,Male
"DANIELS, MICHAEL",9/20/2022,1,FALSE,No,Challenger,Democratic Party,Democratic Party,,Missouri,FALSE,TRUE,,4275.95,18151.32,12306.06,0,15206.06,29081.43,33357.38,0,30457.38,Male
"ROBERTS, STEVEN C",9/30/2022,1,FALSE,No,Challenger,Democratic Party,Democratic Party,,Missouri,FALSE,TRUE,,-4880.61,343527.5,0,0,155550,503958.11,499077.5,0,343527.5,Male
"REED, RAYMOND",6/30/2022,2,FALSE,No,Challenger,Democratic Party,Democratic Party,,Missouri,FALSE,TRUE,,40737.44,66306.76,0,0,2000,45938.04,66306.76,0,66306.76,Male
"GUNBY, PATRICIA WASHBURN",12/15/2022,2,FALSE,No,Challenger,Democratic Party,Democratic Party,,Missouri,FALSE,TRUE,,0,751453.19,99906.42,52000,0,905770.41,905770.41,0,903359.61,Female
"SAMUELS, E. BENJAMIN",12/31/2022,2,FALSE,No,Challenger,Democratic Party,Democratic Party,,Missouri,FALSE,TRUE,,420679.71,1130380.28,4104.93,5950,0,721714.44,1142394.15,0,1140435.21,Male
"NICOLOFF, JOSH",6/30/2021,3,FALSE,No,Challenger,Democratic Party,Democratic Party,,Missouri,FALSE,TRUE,,4705.34,7202,2100,0,0,4596.66,9302,0,9302,Male
"DALY, ANDREW",6/30/2022,3,FALSE,No,Challenger,Democratic Party,Democratic Party,,Missouri,FALSE,TRUE,,970,970,0,0,0,0,970,0,970,Male
"KARLEN, JONATHAN",12/31/2022,3,FALSE,No,Challenger,Democratic Party,Democratic Party,,Missouri,FALSE,TRUE,,3323.4,17746.41,0,0,0,14423.01,17746.41,0,17746.41,Male
"MANN, BETHANY EILEEN",12/31/2022,3,FALSE,No,Challenger,Democratic Party,Democratic Party,,Missouri,FALSE,TRUE,,13992.62,21246.38,3500,2150,3000,13176.76,27169.38,0,26896.38,Female
"MARTIN, HENRY ROBERT",11/28/2022,6,FALSE,No,Challenger,Democratic Party,Democratic Party,,Missouri,FALSE,TRUE,,36619.98,138892,0,0,6000,135956.05,141892,0,138892,Male
"WEST, CHARLES",12/31/2022,6,FALSE,No,Challenger,Democratic Party,Democratic Party,,Missouri,FALSE,TRUE,,1279.38,18368.62,0,0,0,17202.29,18387.13,0,18368.62,Male
"MCCALLIAN, RANDI MCCALLIAN",12/31/2022,8,FALSE,No,Challenger,Democratic Party,Democratic Party,,Missouri,FALSE,TRUE,,11702.21,42929.35,444.26,2500,0,35146.24,45873.61,0,45873.61,Female
"ANDERS, BOB",10/29/2021,2,FALSE,No,Challenger,Independent,Third Party,,Missouri,FALSE,TRUE,,0,266,3740,0,0,4006,4006,0,4006,Male
"JONES, ANDREW M JR",12/31/2022,1,FALSE,No,Challenger,Republican Party,Republican Party,,Missouri,FALSE,TRUE,,606.24,47807.03,0,999,0,48509.79,49116.03,0,48806.03,Male
"SALVATORE, TONY",8/16/2022,2,FALSE,No,Challenger,Republican Party,Republican Party,,Missouri,FALSE,TRUE,,0,2068.73,10955.33,0,0,13024.06,13024.06,0,13024.06,Male
"BERRY, PAUL III",12/31/2022,2,FALSE,No,Challenger,Republican Party,Republican Party,,Missouri,FALSE,TRUE,,0,2450,0,0,0,2450,2450,0,2450,Male
"WILKINSON, BRANDON",7/15/2022,3,FALSE,No,Challenger,Republican Party,Republican Party,,Missouri,FALSE,TRUE,,2727.74,29150.14,7793.85,0,18918.85,34653.84,36943.99,0,36943.99,Male
"HILL, DUSTIN ANTHONY",12/31/2022,3,FALSE,No,Challenger,Republican Party,Republican Party,,Missouri,FALSE,TRUE,,960.02,7140,30020,0,0,36387.43,37160,0,37160,Male
"TURK, JACOB",12/31/2022,5,FALSE,No,Challenger,Republican Party,Republican Party,,Missouri,FALSE,TRUE,,742.57,28442,0,9145,0,36844.43,37587,0,37587,Male
"BARHAM, JERRY",12/31/2022,5,FALSE,No,Challenger,Republican Party,Republican Party,,Missouri,FALSE,TRUE,,796.11,313,114092,0,114092,113608.89,114405,0,114405,Male
"SHULTZ, DAKOTA",12/31/2022,6,FALSE,No,Challenger,Republican Party,Republican Party,,Missouri,FALSE,TRUE,,2135.48,4794.43,8000,0,0,12269.44,12794.43,0,12794.43,Male
"DENNISON, JEREMY TODD",4/16/2022,8,FALSE,No,Challenger,Republican Party,Republican Party,,Missouri,FALSE,TRUE,,149.35,2280,8046,0,5000,10176.65,10326,0,10326,Male
"HARTZLER, VICKY*",12/31/2022,4,FALSE,No,Incumbent,Republican Party,Republican Party,,Missouri,FALSE,TRUE,,1482.9,3202048.01,0,550900,1000,4456982.28,3813033.25,0,3752948.01,Female
"LEATHERS, JEFFERY JD",10/1/2021,4,FALSE,No,Open,Democratic Party,Democratic Party,,Missouri,FALSE,TRUE,,0,1269.91,1437.15,0,0,3005.53,2707.06,0,2707.06,Male
"WOODMAN, JOHN M.",10/16/2022,7,FALSE,No,Open,Democratic Party,Democratic Party,,Missouri,FALSE,TRUE,,0,558,525,0,0,989.76,1083,0,1083,Male
"RADAKER-SHEAFER, KRISTEN",12/31/2022,7,FALSE,No,Open,Democratic Party,Democratic Party,,Missouri,FALSE,TRUE,,-486.29,16530.3,10,599,0,18278.59,17792.3,0,17139.3,Female
"EMERY, EDGAR GLENN HARVEY",9/30/2021,4,FALSE,No,Open,Republican Party,Republican Party,,Missouri,FALSE,TRUE,,0,33670,100000,0,0,133720,133720,0,133670,Male
"JOHNSON, RYAN",10/15/2021,4,FALSE,No,Open,Republican Party,Republican Party,,Missouri,FALSE,TRUE,,0,42055,0,1000,0,43055,43055,0,43055,Male
"WALSH, SARA",6/30/2022,4,FALSE,No,Open,Republican Party,Republican Party,,Missouri,FALSE,TRUE,,0,117657.42,10300,0,0,127957.42,127957.42,0,127957.42,Female
"LABRUE, KYLE STONNER",8/15/2022,4,FALSE,No,Open,Republican Party,Republican Party,,Missouri,FALSE,TRUE,,0,18142.5,0,0,0,18207.51,18142.5,0,18142.5,Male
"IRWIN, WILLIAM",8/29/2022,4,FALSE,No,Open,Republican Party,Republican Party,,Missouri,FALSE,TRUE,,0,98532.21,157926.3,6500,0,268958.51,268958.51,0,262958.51,Male
"CAMPBELL, JIM SOUPY",9/30/2022,4,FALSE,No,Open,Republican Party,Republican Party,,Missouri,FALSE,TRUE,,0,6050,1003964.54,0,0,1010014.54,1010014.54,0,1010014.54,Male
"BRATTIN, RICHARD RAY JR.",10/14/2022,4,FALSE,No,Open,Republican Party,Republican Party,,Missouri,FALSE,TRUE,,0,323544.47,37227.53,6800,0,367572,367572,0,367572,Male
"BRUCE, KALENA",12/31/2022,4,FALSE,No,Open,Republican Party,Republican Party,,Missouri,FALSE,TRUE,,0,191909.52,155100,50500,0,409509.72,409509.72,0,397509.52,Female
"BURKS, TAYLOR",12/31/2022,4,FALSE,No,Open,Republican Party,Republican Party,,Missouri,FALSE,TRUE,,472.02,783900.87,99335.5,33500,76715.68,916744.99,917217.01,0,916736.37,Male
"WALKER, PAUL D",8/16/2022,7,FALSE,No,Open,Republican Party,Republican Party,,Missouri,FALSE,TRUE,,0,200,13200,0,0,7337.9,25900,0,13400,Male
"ALEXANDER, SAM DR",8/18/2022,7,FALSE,No,Open,Republican Party,Republican Party,,Missouri,FALSE,TRUE,,0,73617.22,99000,2000,0,174617.22,174617.22,0,174617.22,Male
"WASSON, JAY",8/30/2022,7,FALSE,No,Open,Republican Party,Republican Party,,Missouri,FALSE,TRUE,,0,587928.95,825000,55975,0,1468904.36,1468904.36,0,1468903.95,Male
"BRYANT, ALEX L",9/30/2022,7,FALSE,No,Open,Republican Party,Republican Party,,Missouri,FALSE,TRUE,,0,191064.8,24268.93,0,0,218333.73,218333.73,0,215333.73,Male
"MOON, MIKE",12/31/2022,7,FALSE,No,Open,Republican Party,Republican Party,,Missouri,FALSE,TRUE,,0,163871.42,13800,0,0,177671.42,177671.42,0,177671.42,Male
"BUSH, CORI",12/31/2022,1,TRUE,Yes,Incumbent,Democratic Party,Democratic Party,"BUSH, CORI",Missouri,FALSE,TRUE,1,10847.18,2236989.39,0,144949.24,35851.25,2522592.88,2448937.35,1,2381938.63,Female
"CLEAVER II, EMANUEL",12/31/2022,5,TRUE,Yes,Incumbent,Democratic Party,Democratic Party,"CLEAVER II, EMANUEL",Missouri,FALSE,TRUE,1,961057.81,273712.84,0,942072.56,0,1182591.29,1215785.4,1,1215785.4,Male
"WAGNER, ANN L.",12/31/2022,2,TRUE,Yes,Incumbent,Republican Party,Republican Party,"WAGNER, ANN L.",Missouri,FALSE,TRUE,1,1457479.49,2818924.33,0,1711977.56,0,3540409.26,4884445.83,1,4530901.89,Female
"LUETKEMEYER, W BLAINE",12/31/2022,3,TRUE,Yes,Incumbent,Republican Party,Republican Party,"LUETKEMEYER, W BLAINE",Missouri,FALSE,TRUE,1,1771113.52,1174671.98,0,1410219.83,0,4074349.46,3640059.18,1,2584891.81,Male
"GRAVES, SAMUEL B. JR.",12/31/2022,6,TRUE,Yes,Incumbent,Republican Party,Republican Party,"GRAVES, SAMUEL B. JR.",Missouri,FALSE,TRUE,1,1383273.39,750893.49,0,1503186.5,5522.41,1857068.51,2383368.94,1,2254079.99,Male
"SMITH, JASON T",12/31/2022,8,TRUE,Yes,Incumbent,Republican Party,Republican Party,"SMITH, JASON T",Missouri,FALSE,TRUE,1,487947.8,1709077.59,0,1411203.57,0,4242035.61,3198303.83,1,3120281.16,Male
"ALFORD, MARK",12/31/2022,4,TRUE,Yes,Open,Republican Party,Republican Party,"ALFORD, MARK",Missouri,FALSE,TRUE,1,56642.16,824893.82,0,192244.43,9665,981421.09,1038063.25,1,1017138.25, Male
"BURLISON, ERIC",12/31/2022,7,TRUE,Yes,Open,Republican Party,Republican Party,"BURLISON, ERIC",Missouri,FALSE,TRUE,1,181595.28,897368.94,0,124400,0,899520.91,1081116.19,1,1021768.94, Male
"WINTER, THOMAS",11/7/2022,1,FALSE,No,Challenger,Democratic Party,Democratic Party,,Montana,FALSE,TRUE,,0,114588.95,63166,375,0,178180.2,178195.2,0,178129.95,Male
"TRANEL, MONICA",12/21/2022,1,FALSE,No,Challenger,Democratic Party,Democratic Party,,Montana,FALSE,TRUE,,0,2957337.84,40000,86756.25,0,3088634.59,3088634.59,0,3084094.09,Female
"NEUMANN, CORA",12/31/2022,1,FALSE,No,Challenger,Democratic Party,Democratic Party,,Montana,FALSE,TRUE,,1541.89,1436043.94,0,13250,0,1542200.27,1449799.79,0,1449293.94,Female
"BISHOP, LAURIE",12/18/2021,2,FALSE,No,Challenger,Democratic Party,Democratic Party,,Montana,FALSE,TRUE,,0,147935,0,0,0,147935,147935,0,147935,Female
"WILLIAMS, SKYLAR",7/8/2022,2,FALSE,No,Challenger,Democratic Party,Democratic Party,,Montana,FALSE,TRUE,,0,1276.73,2550,0,0,4729.47,4729.47,0,3826.73,Male
"SWEENEY, MARK",12/31/2022,2,FALSE,No,Challenger,Democratic Party,Democratic Party,,Montana,FALSE,TRUE,,0,120783,1740,800,0,119523.31,123323,0,123323,Male
"RONNING, PENNY",12/31/2022,2,FALSE,No,Challenger,Democratic Party,Democratic Party,,Montana,FALSE,TRUE,,329,149619.04,10033.54,16140.09,0,175463.67,175792.67,0,175792.67,Female
"BALLARD, JACK",12/31/2022,2,FALSE,No,Challenger,Democratic Party,Democratic Party,,Montana,FALSE,TRUE,,9.04,89194.24,1900,0,4520,91224.56,91094.24,0,91094.24,Male
"BUCHANAN, GARY",12/31/2022,2,FALSE,No,Challenger,Independent,Third Party,,Montana,FALSE,TRUE,,108.53,545264.24,35000,0,25000,570155.71,580264.24,0,580264.24,Male
"RANKIN, SAM",11/18/2022,2,FALSE,No,Challenger,Libertarian Party,Third Party,,Montana,FALSE,TRUE,,16.83,5150,25932.64,0,0,31132.77,31149.6,0,31082.64,Male
"TODD, MARY BROOKS",6/30/2022,1,FALSE,No,Challenger,Republican Party,Republican Party,,Montana,FALSE,TRUE,,0,128512.49,326490.68,0,0,455003.17,455003.17,0,455003.17,Female
"OLSZEWSKI, AL",12/31/2022,1,FALSE,No,Challenger,Republican Party,Republican Party,,Montana,FALSE,TRUE,,20419.03,533024.27,350001,24000,320000,891240.98,911660.01,0,907025.27,Male
"BOYETTE, JAMES MATTHEW",5/25/2022,2,FALSE,No,Challenger,Republican Party,Republican Party,,Montana,FALSE,TRUE,,-3221.07,400,0,1850,0,5535.07,2250,0,2250,Male
"HEUER, MITCH MR.",7/7/2022,1,FALSE,No,Open,Republican Party,Republican Party,,Montana,FALSE,TRUE,,7832.5,0,45000,0,0,37167.5,45000,0,45000,Male
"ROSENDALE, MATT MR.",12/31/2022,2,TRUE,Yes,Incumbent,Republican Party,Republican Party,"ROSENDALE, MATT MR.",Montana,FALSE,TRUE,1,1217772.92,1268951.77,0,261526.02,0,1329704.01,2284637.89,1,1530477.79,Male
"ZINKE, RYAN K",12/31/2022,1,TRUE,Yes,Open,Republican Party,Republican Party,"ZINKE, RYAN K",Montana,FALSE,TRUE,1,110048.12,5511953.96,0,834802.65,0,6603927.48,6713975.6,1,6346756.61, Male
"PANSING BROOKS, PATTY",12/31/2022,1,FALSE,No,Challenger,Democratic Party,Democratic Party,,Nebraska,FALSE,TRUE,,1177.01,1731321.13,0,27040,11850.37,1757281.99,1758459,0,1758361.13,Female
"SHELTON, ALISHA",12/21/2022,2,FALSE,No,Challenger,Democratic Party,Democratic Party,,Nebraska,FALSE,TRUE,,-3682.06,316358.97,0,23316.6,0,360381.22,340913.94,0,339675.57,Female
"VARGAS, ANTHONY 'TONY'",12/31/2022,2,FALSE,No,Challenger,Democratic Party,Democratic Party,,Nebraska,FALSE,TRUE,,53388.23,2986112.75,2500,377772.22,0,3356537.29,3409925.52,0,3366384.97,Male
"KUEHL, STEPHEN MATTHEW MR",3/31/2022,2,FALSE,No,Challenger,Republican Party,Republican Party,,Nebraska,FALSE,TRUE,,-1391.7,5141,0,0,1391.7,6532.7,5141,0,5141,Male
"FORTENBERRY, JEFFREY L. HONORABLE*",9/30/2022,1,FALSE,No,Incumbent,Republican Party,Republican Party,,Nebraska,FALSE,TRUE,,0,369700.64,61270.57,230525,0,1503382.43,784947.49,0,661496.21,Male
"FLOOD, MIKE",12/31/2022,1,TRUE,Yes,Incumbent,Republican Party,Republican Party,"FLOOD, MIKE",Nebraska,FALSE,TRUE,1,6871.76,1643238.35,68000,482076.69,280511.13,2188179.07,2195050.83,1,2193315.04,Male
"BACON, DONALD J",12/31/2022,2,TRUE,Yes,Incumbent,Republican Party,Republican Party,"BACON, DONALD J",Nebraska,FALSE,TRUE,1,14235.5,1909935.62,1375.87,1666050,138272.83,3990000.64,3919222.53,1,3577361.49,Male
"SMITH, ADRIAN",12/31/2022,3,TRUE,Yes,Incumbent,Republican Party,Republican Party,"SMITH, ADRIAN",Nebraska,FALSE,TRUE,1,914536.05,469809.73,0,1188890.96,0,1940797.87,1709691.29,1,1658700.69,Male
"VILELA, AMY",12/31/2022,1,FALSE,No,Challenger,Democratic Party,Democratic Party,,Nevada,FALSE,TRUE,,456.03,477856.84,103272.49,9349.13,64180,590025.55,590481.58,0,590478.46,Female
"AFZAL, JOSEPH EDWARD",5/25/2022,2,FALSE,No,Challenger,Democratic Party,Democratic Party,,Nevada,FALSE,TRUE,,396.06,33,105,0,725.39,512.33,138,0,138,Male
"DOUCETTE, MICHAEL LEO MR",6/30/2022,2,FALSE,No,Challenger,Democratic Party,Democratic Party,,Nevada,FALSE,TRUE,,1878.16,180.08,5872.23,0,0,4174.16,6052.31,0,6052.31,Male
"KRAUSE, E M",11/28/2022,2,FALSE,No,Challenger,Democratic Party,Democratic Party,,Nevada,FALSE,TRUE,,1208.52,52082.79,100,0,0,50733.16,52182.79,0,52182.79,Female
"HANIFAN, TIMOTHY R.",12/31/2022,2,FALSE,No,Challenger,Democratic Party,Democratic Party,,Nevada,FALSE,TRUE,,662.48,7648.47,2680.69,0,15908.89,9666.68,10329.16,0,10329.16,Male
"STEEL, CYNTHIA DIANNE",3/31/2022,1,FALSE,No,Challenger,Republican Party,Republican Party,,Nevada,FALSE,TRUE,,1819.35,7309.6,0,0,0,5490.25,7309.6,0,7309.6,Female
"TURNER, JESSIE MR",3/31/2022,1,FALSE,No,Challenger,Republican Party,Republican Party,,Nevada,FALSE,TRUE,,100,0,100,0,0,0,100,0,100,Male
"BROG, DAVID",8/16/2022,1,FALSE,No,Challenger,Republican Party,Republican Party,,Nevada,FALSE,TRUE,,0,343373.18,69873.49,25400,50000,442591.36,442591.36,0,438646.67,Male
"SHOLTY, MORGUN",8/23/2022,1,FALSE,No,Challenger,Republican Party,Republican Party,,Nevada,FALSE,TRUE,,0,102549.72,8078.64,6000,0,116628.36,116628.36,0,116628.36,Male
"HARDY, CRESENT",8/25/2022,1,FALSE,No,Challenger,Republican Party,Republican Party,,Nevada,FALSE,TRUE,,0,11565,285.06,0,0,11850.06,11850.06,0,11850.06,Male
"ROBERTSON, MARK",12/31/2022,1,FALSE,No,Challenger,Republican Party,Republican Party,,Nevada,FALSE,TRUE,,169030.62,809968.57,73375.95,227234.89,8050,1168642.84,1337673.46,0,1110579.41,Male
"SERRANO, CAROLINA",12/31/2022,1,FALSE,No,Challenger,Republican Party,Republican Party,,Nevada,FALSE,TRUE,,28581.79,643707.73,0,11000,35962.43,626288.94,654870.73,0,654707.73,Female
"TARKANIAN, DANNY",12/31/2022,2,FALSE,No,Challenger,Republican Party,Republican Party,,Nevada,FALSE,TRUE,,8915.12,240416.75,514419.31,1250,514419.31,752150.94,761066.06,0,756086.06,Male
"PRIJTEN, REINIER",5/17/2021,3,FALSE,No,Challenger,Republican Party,Republican Party,,Nevada,FALSE,TRUE,,0,1444,600,0,0,2044,2044,0,2044,Male
"GOLDBERG, ALBERT",7/8/2022,3,FALSE,No,Challenger,Republican Party,Republican Party,,Nevada,FALSE,TRUE,,2.5,0,5567.52,0,1995.39,5565.02,5567.52,0,5567.52,Male
"BOSSERT, CLARK",9/30/2022,3,FALSE,No,Challenger,Republican Party,Republican Party,,Nevada,FALSE,TRUE,,0,25255,20000,0,0,45309.8,45309.8,0,45255,Male
"MALGERI, NOAH",9/30/2022,3,FALSE,No,Challenger,Republican Party,Republican Party,,Nevada,FALSE,TRUE,,0,61832.62,248775.94,0,0,310678.56,310678.56,0,310608.56,Male
"BECKER, APRIL",12/31/2022,3,FALSE,No,Challenger,Republican Party,Republican Party,,Nevada,FALSE,TRUE,,40370.26,1700972.77,64314.09,349250,0,2448390.9,2488761.16,0,2114536.86,Female
"KOVACS, JOHN",12/31/2022,3,FALSE,No,Challenger,Republican Party,Republican Party,,Nevada,FALSE,TRUE,,1016.46,14822.76,342000,0,487789.7,359060.12,356909.06,0,356822.76,Male
"VARGAS, JESSIE",6/30/2022,4,FALSE,No,Challenger,Republican Party,Republican Party,,Nevada,FALSE,TRUE,,0,82421,20000,1500,0,104130,104130,0,103921,Male
"BONAVENTURA, CHANCE",7/2/2022,4,FALSE,No,Challenger,Republican Party,Republican Party,,Nevada,FALSE,TRUE,,0,5851,3891.72,0,0,9742.72,9742.72,0,9742.72,Male
"BLACK, ANNIE",7/9/2022,4,FALSE,No,Challenger,Republican Party,Republican Party,,Nevada,FALSE,TRUE,,1261.14,344700.6,3500,19000,0,365939.46,367200.6,0,367200.6,Female
"PETERS, SAMUEL JAMES MR",12/31/2022,4,FALSE,No,Challenger,Republican Party,Republican Party,,Nevada,FALSE,TRUE,,36958.07,1558219.17,5000,181625,101037.32,1930637.8,1964059.59,0,1744844.17,Male
"TITUS, DINA",12/31/2022,1,TRUE,Yes,Incumbent,Democratic Party,Democratic Party,"TITUS, DINA",Nevada,FALSE,TRUE,1,173202.08,1887719.08,0,1181484.99,0,3548023.72,3392335.34,1,3069204.07,Female
"LEE, SUSIE",12/31/2022,3,TRUE,Yes,Incumbent,Democratic Party,Democratic Party,"LEE, SUSIE",Nevada,FALSE,TRUE,1,37366.76,4370511.84,100,1454486.75,0,6328742.98,6337405.99,1,5825098.59,Female
"HORSFORD, STEVEN ALEXZANDER",12/31/2022,4,TRUE,Yes,Incumbent,Democratic Party,Democratic Party,"HORSFORD, STEVEN ALEXZANDER",Nevada,FALSE,TRUE,1,62102.42,2528141.71,0,2215850.59,0,5389863.42,4956048.45,1,4743992.3,Male
"AMODEI, MARK EUGENE",12/31/2022,2,TRUE,Yes,Incumbent,Republican Party,Republican Party,"AMODEI, MARK EUGENE",Nevada,FALSE,TRUE,1,279653.65,763156.55,0,450530.71,9000,1264414.97,1219752.54,1,1213687.26,Male
"ACCIARD, JULIAN MARC",12/31/2021,1,FALSE,No,Challenger,Republican Party,Republican Party,,New Hampshire,FALSE,TRUE,,169.62,8428.23,5985.73,0,0,14297.88,14467.5,0,14413.96,Male
"KILBANE, MARK",9/30/2022,1,FALSE,No,Challenger,Republican Party,Republican Party,,New Hampshire,FALSE,TRUE,,130,130,0,0,0,0,130,0,130,Male
"TOWNE, GILEAD R",9/30/2022,1,FALSE,No,Challenger,Republican Party,Republican Party,,New Hampshire,FALSE,TRUE,,0,6961.82,3415.75,0,3415.75,10382.37,10377.57,0,10377.57,Male
"MOWERS, MATT",12/31/2022,1,FALSE,No,Challenger,Republican Party,Republican Party,,New Hampshire,FALSE,TRUE,,76.47,1361183.97,102220.72,179506.03,0,1796730.2,1788353.07,0,1642910.72,Male
"LEAVITT, KAROLINE",12/31/2022,1,FALSE,No,Challenger,Republican Party,Republican Party,,New Hampshire,FALSE,TRUE,,19430.65,3345623.06,0,168387.59,132336.29,3672511.92,3691942.57,0,3514010.65,Female
"BAXTER, TIM",12/31/2022,1,FALSE,No,Challenger,Republican Party,Republican Party,,New Hampshire,FALSE,TRUE,,1591.57,500788.63,317045.42,37232.41,299450,865289.82,866881.39,0,855066.46,Male
"PRESCOTT, RUSSELL",12/31/2022,1,FALSE,No,Challenger,Republican Party,Republican Party,,New Hampshire,FALSE,TRUE,,532.72,40847,352090.52,0,350000,392404.8,392937.52,0,392937.52,Male
"GREESON, JEFFREY",11/15/2021,2,FALSE,No,Challenger,Republican Party,Republican Party,,New Hampshire,FALSE,TRUE,,0,1147.64,0,0,0,1147.64,1147.64,0,1147.64,Male
"COZZENS, JEFF",9/30/2022,2,FALSE,No,Challenger,Republican Party,Republican Party,,New Hampshire,FALSE,TRUE,,0,162653.86,4900,2000,0,169553.86,169553.86,0,169553.86,Male
"WILLIAMS, LILY TANG",12/31/2022,2,FALSE,No,Challenger,Republican Party,Republican Party,,New Hampshire,FALSE,TRUE,,30792.91,178390.72,0,0,0,155282.81,178390.72,0,178390.72,Female
"BURNS, ROBERT ANDREW MR.",12/31/2022,2,FALSE,No,Challenger,Republican Party,Republican Party,,New Hampshire,FALSE,TRUE,,2318.07,176619.21,151850,24500,0,399327.75,401645.82,0,352969.21,Male
